cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
324411388546929842803630833976019599395;13704-AVIS-SOC-GLASSDOOR-E9347_P1.html;2021-03-21 17:31:16;0;Sanofi;Nov 22, 2019; Bienveillance & Equité ;Employé actuel - RRH;Gentilly;Recommande;Je travaille chez Sanofi à temps plein depuis plus de 8 ans;Une politique salariale attractive et une entreprise bienveillante avec des collaborateurs très engagés;Pas d’avantages pour les employés
195840985353107241231823776839986290399;13704-AVIS-SOC-GLASSDOOR-E9347_P1.html;2021-03-21 17:31:16;0;Sanofi;Nov 21, 2019; Bussines analyste ;Employé actuel - Analyste commercial;São Paulo, São Paulo;Recommande;Je travaille chez Sanofi à temps plein depuis plus de 3 ans;Société multinacionale française basée au Brésil qui offre une qualité de vie et des avantages adaptés aux employés;La matrice où je travaille n'offre pas de postes similaires á mon poste actuel à Lyon
249352318362010862775091592503009393058;13704-AVIS-SOC-GLASSDOOR-E9347_P1.html;2021-03-21 17:31:16;0;Sanofi;Nov 15, 2019; Bon début ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Sanofi à temps plein;Salaire ok pour débuter, liberté horaire, confiance, intérêt, apprentissage;Évolution difficile, envie d’autres produits
304242030191484183070459560918392964234;13704-AVIS-SOC-GLASSDOOR-E9347_P1.html;2021-03-21 17:31:16;0;Sanofi;Nov 13, 2019; environnement de travail agréable ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Sanofi à temps plein;évolutions possibles, PEG, PERCO, Vacances, CE;organisation matricielle complexe, silo, lenteur administrative
110617367356750671767134183361981977070;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;2021-03-21 17:31:17;0;LVMH;Jun 5, 2019; Une bonne société pour les opportunités de développement de carrière ;Ancien employé - Gestionnaire de talent;Paris;Point de vue positif;J'ai travaillé chez LVMH à temps plein plus d'un an;Intérêt du poste Exposition Des moyens pour mener à bien vos projets Développement de la flexibilité;Pression élevée constante Équilibre travail/vie privée Salaire
318650463288739560524608285233134103414;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;2021-03-21 17:31:17;0;LVMH;May 20, 2019; Que du bonheur ;Ancien employé - Employé anonyme;Paris;Recommande;J'ai travaillé chez LVMH à temps plein;luxe, rapide, bien fait, mondiale, équipe de gens pointu et motivé. J'ai eu la chance de voir la boite évolué très vite!;Pas d’avantages pour les employés
12474042436602724340216271723544616049;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;2021-03-21 17:31:17;0;LVMH;May 3, 2019; Attirant vu de l'extérieur, vu de l'intérieur la réalité peut être horrible ;Ancien employé - Directeur;Paris;Ne recommande pas;J'ai travaillé chez LVMH à temps plein plus de 3 ans;Bons produits, des opportunités de travailler à l'extérieur de Paris...;Pas d’avantages pour les employés
33105200882299740211389762962960920134;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;2021-03-21 17:31:17;0;LVMH;Apr 30, 2019; gftry ;Employé actuel - Employé anonyme;Paris;Ne recommande pas;Je travaille chez LVMH à temps plein depuis plus de 5 ans;les collaborateurs sont très sympas;Pas d’avantages pour les employés
13991988698539206112525164081418256607;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;2021-03-21 17:31:17;0;LVMH;Apr 28, 2019; Job ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez LVMH à temps plein;Carrière, Maisons de luxe, CE, goût de l’excellence, bienveillance.;Taille de groupe et pression
257247392944888186486666120933655478416;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;2021-03-21 17:31:17;0;LVMH;Apr 11, 2019; Enrichissant ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez LVMH à temps partiel;Salaire, temps de travail, mobilités;Pas assez d’innovation, très hiérarchique
